timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741313216897,906,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2327,text,false,,462,353,2526,2526,http://localhost:9090/transaction/getStockTransactions,906,0,0
1741313215745,1998,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1066,text,false,,462,356,2533,2533,http://localhost:9090/transaction/getStockTransactions,1998,0,0
1741313217741,70,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3154,text,false,,462,357,2522,2522,http://localhost:9090/transaction/getStockTransactions,70,0,0
1741313217744,58,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2232,text,false,,462,357,2526,2526,http://localhost:9090/transaction/getStockTransactions,58,0,0
1741313216895,924,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1783,text,false,,462,354,2524,2524,http://localhost:9090/transaction/getStockTransactions,924,0,0
1741313216590,1229,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1768,text,false,,462,357,2524,2524,http://localhost:9090/transaction/getStockTransactions,1229,0,0
1741313216894,926,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2967,text,false,,462,356,2522,2522,http://localhost:9090/transaction/getStockTransactions,926,0,0
1741313216587,1234,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2408,text,false,,462,360,2520,2520,http://localhost:9090/transaction/getStockTransactions,1234,0,0
1741313216638,1184,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3189,text,false,,462,358,2520,2520,http://localhost:9090/transaction/getStockTransactions,1184,0,0
1741313215735,2051,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2557,text,false,,462,358,2523,2523,http://localhost:9090/transaction/getStockTransactions,2051,0,0
1741313215732,2089,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2775,text,false,,462,360,2520,2520,http://localhost:9090/transaction/getStockTransactions,2089,0,0
1741313216755,1070,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1554,text,false,,462,358,2518,2518,http://localhost:9090/transaction/getStockTransactions,1070,0,0
